ORGANIZATION NAME,CONTACT JOB DEPARTMENTS,INDUSTRIES,HEADQUARTERS LOCATION,COUNTRY,DESCRIPTION,FOUNDED DATE,FOUNDED DATE PRECISION,FOUNDERS,NUMBER OF EMPLOYEES,FUNDING STATUS,LAST FUNDING DATE,LAST FUNDING TYPE,NUMBER OF INVESTMENTS,NUMBER OF EXITS,INDUSTRY GROUPS,IPO STATUS,IPO DATE,DELISTED DATE,DELISTED DATE PRECISION,MONEY RAISED AT IPO,MONEY RAISED AT IPO CURRENCY,MONEY RAISED AT IPO CURRENCY (IN USD),VALUATION AT IPO,VALUATION AT IPO CURRENCY,VALUATION AT IPO CURRENCY (IN USD),STOCK EXCHANGE,DIVERSITY SPOTLIGHT (US HEADQUARTERS ONLY),NUMBER OF DIVERSITY INVESTMENTS,TRANSACTION NAME,ACQUIRED BY,ANNOUNCED DATE,ANNOUNCED DATE PRECISION,PRICE,PRICE CURRENCY,PRICE CURRENCY (IN USD),LAST LEADERSHIP HIRING DATE,CB RANK (ORGANIZATION),CB RANK (COMPANY),CB RANK (SCHOOL),LAST LAYOFF MENTION DATE,HEADQUARTERS REGIONS,ESTIMATED REVENUE RANGE,OPERATING STATUS,WEBSITE,TWITTER,FACEBOOK,LINKEDIN,CONTACT EMAIL,PHONENUMBER,NUMBER OF ARTICLES,HUB TAGS,FULL DESCRIPTION,ACTIVELY HIRING,INVESTMENT STAGE,NUMBER OF FOUNDERS (ALUMNI),NUMBER OF FOUNDERS,NUMBER OF FUNDING ROUNDS,TOTAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT CURRENCY,TOTAL FUNDING AMOUNT CURRENCY (IN USD),NUMBER OF ACQUISITIONS,STOCK SYMBOL,SIMILAR COMPANIES,SEMRUSH - MONTHLY VISITS,SEMRUSH - AVERAGE VISITS (6 MONTHS),SEMRUSH - VISIT DURATION,SEMRUSH - MONTHLY VISITS GROWTH,SEMRUSH - VISIT DURATION GROWTH,SEMRUSH - PAGE VIEWS / VISIT,SEMRUSH - PAGE VIEWS / VISIT GROWTH,SEMRUSH - BOUNCE RATE,SEMRUSH - BOUNCE RATE GROWTH,SEMRUSH - GLOBAL TRAFFIC RANK,SEMRUSH - MONTHLY RANK CHANGE (#),SEMRUSH - MONTHLY RANK GROWTH,ABERDEEN - IT SPEND,ABERDEEN - IT SPEND CURRENCY,ABERDEEN - IT SPEND CURRENCY (IN USD),IPQWERY - PATENTS GRANTED,IPQWERY - TRADEMARKS REGISTERED,IPQWERY - MOST POPULAR PATENT CLASS,IPQWERY - MOST POPULAR TRADEMARK CLASS,APPTOPIA - NUMBER OF APPS,APPTOPIA - DOWNLOADS LAST 30 DAYS,ORGANIZATION NAME,INDUSTRY LINKEDIN,WEBSITE,COMPANYLINKEDINURL,FACEBOOKURL,TWITTER URL,COMPANY STREET,COMPANY CITY,COMPANY STATE,COMPANY COUNTRY,COMPANY POSTAL CODE,COMPANY ADDRESS,KEYWORDS,COMPANY PHONE,SEO DESCRIPTION,TECHNOLOGIES,SIC CODES,SHORT DESCRIPTION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Construímos pontes sustentáveis entre o Brasil e o resto do mundo transacionando informações, produtos e ativos, conectamos clientes e fornecedores, nos dedicamos a importar e nacionalizar seus produtos da forma mais adequada para cada característica de operação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utilizamos nossa experiência para encontrar soluções flexíveis e caminhos que melhor atendam as necessidades do cliente. Permitindo assim, que mais empresas possam se consolidar no Brasil e tropicalizar suas operações de forma segura, otimizada e financeiramente viável.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia Trading evoluindo rumo ao futuro. Conectando pessoas, companhias e mercados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vamos conversar sobre o seu projeto de importação?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webleilões,,"Online Auctions, Real Estate, Retail","São Paulo, Sao Paulo, Brazil",Brazil,"Webleilões is an online auction company that offers vehicle and real estate appraising, asset recovery, and regularization services.",1/1/2013,year,,11 to 50,,,,,,"Commerce and Shopping, Real Estate",Private,,,,,,,,,,,,,,,,,,,,,"1,641,588","1,607,602",,,Latin America,$1M to $10M,Active,webleiloes.com.br,twitter.com/webleiloes_,facebook.com/webleiloes,linkedin.com/company/webleiloess/,contato@webleiloes.com.br,551133923446,,,,,,,,,,,,,,10,"3,877","8,000.5",9,8.84%,-99.79%,1.24,-83.94%,88.23%,181.88%,"3,228,984","-313,27",-8.84%,,,,,,,,,,Webleilões,Real Estate,webleiloes.com.br,linkedin.com/company/webleiloess,,,127 Rua Turiassu,São Paulo,São Paulo,Brazil,05005-001,"127 Rua Turiassu, São Paulo, State of São Paulo, Brazil, 05005-001",,551133923446,,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting",,"Fundada em 2013, a WebLeilões é uma empresa especializada na execução de Leilões Judiciais e Extrajudiciais."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Em nosso portfólio, recebemos constantemente ótimas oportunidades de imóveis em todo o Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contamos também com uma gama de bens móveis, tais como carros, ativos industriais etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somos formados por uma equipe pronta para atender a qualquer dúvida ou necessidade de nossos clientes,  como esclarecimentos sobre o bem a ser leiloado, auxilio para habilitação no leilão e qualquer outro tipo de possível demanda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acreditamos em menos burocracia e mais tecnologia para o mercado imobiliário. Nossa transformação já começou, vem com a gente?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#revoluçãoWeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniscience do Brazil,Engineering,"Biotechnology, Health Care, Medical Device, Pharmaceutical, Supply Chain Management","Osasco, Sao Paulo, Brazil",Brazil,Uniscience do Brazil is a supplier of laboratory equipment.,1/1/1984,year,,11 to 50,,,,,,"Biotechnology, Health Care, Science and Engineering, Transportation",Private,,,,,,,,,,,,,,,,,,,,,"501,894","487,447",,,Latin America,$1M to $10M,Active,uniscience.com.br,,facebook.com/unisciencedobrasil,linkedin.com/company/uniscience-do-brasil-ind-com-e-rep-ltda/,info@uniscience.com.br,,,,"Uniscience do is a distributor of equipment and reagents in the areas of Biotechnology and Molecular Biology. Their values ​​are represented by science, people, technology, truth, integrity, loyalty, environment, quality of life and sustainable business, with the mission to act as a partner of their customers, providing solutions through reagents, equipment and consumables for use in routine and research laboratories.",,,,,,,,,,,22,872,,0,,,1,,1,,"6,068,792",,,,,,,,,,,,Uniscience do Brazil,Biotechnology,uniscience.com.br,linkedin.com/company/uniscience-do-brasil-ind-com-e-rep-ltda,facebook.com/unisciencedobrasil,,933 Avenida Cândido Portinari,Osasco,São Paulo,Brazil,05114-001,"933 Avenida Cândido Portinari, Osasco, São Paulo, Brazil, 05114-001",,551136222327,"Conheça os produtos da Uniscience do Brasil, confira!","Outlook, Microsoft Office 365, Amazon AWS, reCAPTCHA, Google Tag Manager, Vtex, Bootstrap Framework, Mobile Friendly, Zopim, Google Analytics, Hotjar, Google Font API, YouTube",,"Reagents and equipments for Biotech in general, we work with premium brands, introducing inovation to the Brazilian Market."
Genomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molecular Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnostics directed to Molecular Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companies we distribute:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accumax, Agrisera, Biocom, Biometra, Biosan, Biosearch, Biotage, Biotium, Cell Signaling, Covaris, DNR, Esco, Genlantis, IBA, Illumina, Integra Biosciences, Kreatech, Li-Cor, Nanodrop, Nanostring, New England Biolabs, Orflo, Pacific Biosciences, Partek, Pro-Scientific, Sage Sciences, SBI, Serva, Sigma, Stratec, ThermoScientific and Uniscience product line (consumables, reagents and equipment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Inteligência,,"Logistics, Security","Barueri, Sao Paulo, Brazil",Brazil,"Quality Inteligência is a firm focused on resolving the different challenges that a business may face in technology, security, & logistics.",1/1/2002,year,,11 to 50,,,,,,"Privacy and Security, Transportation",Private,,,,,,,,,,,,,,,,,,,,,"2,196,661","2,155,073",,,Latin America,,Active,qualityinteligencia.com.br,,facebook.com/QualityInteligenciaBr/,linkedin.com/company/qualityinteligencia,contato@qualityinteligencia.com.br,551139260190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quality Inteligência,Information Technology & Services,qualityinteligencia.com.br,linkedin.com/company/qualityinteligencia,facebook.com/Quality-Intelig%C3%AAncia-1790840114488785,,,São Paulo,São Paulo,Brazil,,"São Paulo, State of São Paulo, Brazil","tecnologia da seguranca, sistema remoto de gerenciamento, controle automatico de incidentes, integridade e acesso sem intervencao local, gestao de processos, otimizacao de processos",551139260190,"A Quality é uma empresa de inovação e tecnologia que leva as empresas soluções para otimização de processos, governança, gestão, risco e compliance.","Mailchimp Mandrill, Gmail, Google Apps, Google Tag Manager, Apache, Google Font API, Mobile Friendly, Webmail",,"A Quality é uma empresa de inovação e tecnologia que leva às empresas soluções na gestão remota de processos visando a redução de custos, melhoria da eficiência, aumento de produtividade e qualidade das informações."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Com mais de 11 anos de estrada, a Quality tem na bagagem experiência na área de segurança, aliada às tecnologias do mercado, buscando oportunidades e desenvolvendo novas ferramentas por meio do nosso núcleo de pesquisas e inovação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Todas as soluções da Quality são próprias e voltadas à utilização de sistemas de fácil usabilidade, com foco na automação de processos por um baixo custo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eÓtica,Product,"E-Commerce, Eyewear, Fashion","Vila Olímpia, Sao Paulo, Brazil",Brazil,"eÓtica is an online optical store that provides sunglasses, contact lenses, and prescription glasses to its customers.",1/1/2011,year,"Bruno Ballardie, Eduardo Baek, Kai Schoppen",11 to 50,M&A,6/26/2013,Series A,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",Private,,,,,,,,,,,,,eÓtica acquired by Essilor,Essilor,1/8/2016,day,,,,,"300,626","292,688",,,Latin America,Less than $1M,Active,eotica.com.br,twitter.com/eotica,facebook.com/eotica,linkedin.com/company/e-tica/,atendimento@eotica.com.br,551130643003,2,,"eÓtica is an online store that sells contact lenses, prescription glasses, sunglasses, frames, and accessories in Brazil. The online store features a variety of national and international brands as well as an innovative selection of products from several designers. eÓtica was launched in 2011 and is based in Sao Paulo, Brazil.",,,,3,3,,USD,,1,,4,"316,717","259,695.67",508,-6.4%,50.74%,1.28,-40.82%,80.07%,49.11%,"156,08","7,829",5.28%,,,,,,,,,,eÓtica,Internet,eotica.com.br,linkedin.com/company/e-tica,facebook.com/lema21,twitter.com/lema21,818 Avenida Jaguaré,,São Paulo,Brazil,05345-040,"818 Avenida Jaguaré, São Paulo, Brazil, 05345-040","e-commerce, consumer internet, internet, information technology, lentes de contato, oculos de sol, oculos de grau, otica",551140031664,Compre agora seu Óculos de Grau na eÓtica ✓ Frete e Troca Grátis ✓ Pague em até 10x Sem Juros ✓ Temos o melhor Preço ✓ Entrega Rápida e Segura,"Salesforce, Cloudflare DNS, Amazon SES, Sendgrid, Gmail, Google Apps, Microsoft Office 365, CloudFlare Hosting, Zendesk, Amazon AWS, Taboola Newsroom, TripleLift, ExactTarget, Magento 2 Community, AWS SDK for JavaScript, Adobe Marketing Cloud, Affiliate Window, Mobile Friendly, Google Tag Manager, Twitter Advertising, Google AdWords Conversion, Facebook Login (Connect), Hotjar, AdPilot, WordPress.org, DoubleClick Conversion, Google Dynamic Remarketing, AppNexus, MouseFlow, Google Analytics, Criteo, Active Campaign, Amadesa, Shutterstock, Google AdSense, Bing Ads, Google Plus, DoubleClick, Facebook Widget, Facebook Custom Audiences, YouTube, Render",,"Maior ótica online do Brasil. Lentes de contato, óculos de sol e óculos de grau. Desde 2015 também faz parte do grupo a Lema21."
Qualicorp,"Human Resources, Marketing, Operations, Product","Health Care, Insurance","São Paulo, Sao Paulo, Brazil",Brazil,Qualicorp is the largest manager of benefits in Brazil and provides access to quality health care to millions of Brazilians.,1/1/1997,year,Joseph Seripieri Filho,5.001 to 10.000,IPO,1/2/2023,Post-IPO Secondary,,,"Financial Services, Health Care",Public,7/8/2011,,,,,,,,,B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,,"228,72","223,714",,,Latin America,,Active,qualicorp.com.br,twitter.com/qualicorp,facebook.com/qualicorp,linkedin.com/company/qualicorp/,,,4,,"The Qualicorp is the largest manager of collective health plans in Brazil and provides access to quality health care to millions of Brazilians. Qualicorp S.A (""Company""​ or ""Qualicorp""​) is one of the leading, full-service healthcare benefits administrators and health management services providers in Brazil, serving more than 5.2 million beneficiaries, which allows it to negotiate with Operators prices and conditions that are more advantageous to its Beneficiaries.",,,,1,3,,USD,,1,QUAL3,2,"208,748","250,821.17",716,3.64%,-13.73%,1.74,2.16%,74.28%,23.22%,"210,961","-5,337",-2.47%,,,,,,,,8,"9,546",Qualicorp,Management Consulting,qualicorp.com.br,linkedin.com/company/qualicorpempresarial,facebook.com/Qualicorp/,mobile.twitter.com/qualicorp,268 Rua Quinze de Novembro,São Paulo,São Paulo,Brazil,01013-001,"268 Rua Quinze de Novembro, São Paulo, State of São Paulo, Brazil, 01013-001","gestao de planos de saude, saude, administradora de planos de saude, rh, administradora de beneficios",551140044400,"Encontre os melhores planos de saúde para você, sua família e sua empresa. Além de outros serviços, como seguros de vida, celular, auto e muito mais!","Route 53, Amazon SES, Outlook, Google Cloud Hosting, Microsoft Office 365, VueJS, Atlassian Cloud, OneTrust, React, Hubspot, Datadog, Google Analytics, Bootstrap Framework, reCAPTCHA, Navegg, Facebook Widget, YouTube, Shutterstock, WordPress.org, Facebook Custom Audiences, Google Play, DoubleClick Conversion, DoubleClick, Google Font API, Facebook Login (Connect), ASP.NET, Nginx, Mobile Friendly, JQuery 2.1.1, Google Dynamic Remarketing, Open AdStream (Appnexus), Google Tag Manager",,Somos a n°1 do Brasil em venda e administração de planos de saúde.
Líder nacional no setor de planos de saúde coletivos e empresariais.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
> Eleita Top of Mind de RH em Consultoria de Benefícios por  8 anos consecutivos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
> Eleita a Melhor Fornecedora para RH em Consultoria de Benefícios por 7 anos consecutivos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somos diversos, plurais e únicos: essa é a nova Quali.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NovaQuali #QualiEmpresarial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comerc Energia,,"Energy, Oil and Gas, Supply Chain Management","São Paulo, Sao Paulo, Brazil",Brazil,"Comerc Energia provides generator management, natural gas market, distributed generation, and energy efficiency solutions.",1/1/2001,year,,251 to 500,,10/9/2021,Corporate Round,,,"Energy, Natural Resources, Transportation",Private,,,,,,,,,,,,,,,,,,,,,"36,79","36,582",,,Latin America,$10M to $50M,Active,comerc.com.br,twitter.com/comercenergia,facebook.com/comercenergia,linkedin.com/company/comerc-energia,canalaberto.comerc@helloethics.com,558005916059,1,,Comerc invest in technology and innovation to provide the best energy solutions.,,,,,1,"3,250,000,000",BRL,"589,640,934",,,11,"6,76","15,084.33",108,-50.55%,-74.71%,2.48,-25.01%,38.69%,-20.62%,"2,225,410","783,757",54.37%,,,,,,,,5,,Comerc Energia,Semiconductors,comerc.com.br,linkedin.com/company/comerc-energia,,,1909 Avenida Presidente Juscelino Kubitschek,São Paulo,São Paulo,Brazil,04543-000,"1909 Avenida Presidente Juscelino Kubitschek, São Paulo, State of São Paulo, Brazil, 04543-000","desenvolvimento de estrategias de gestao de energia eletrica, suporte juridico legal, processos estruturados de compra e venda de energia eletrica, estudos de mercado, mercado livre de energia, comercializacao de energia",551141300267,,"Route 53, Outlook, MailChimp SPF, Microsoft Office 365, Zendesk, Amazon AWS, Hubspot, Salesforce, Salesforce Live Agent, Linkedin Widget, Google Play, Linkedin Marketing Solutions, Nginx, Google Dynamic Remarketing, Facebook Login (Connect), Mobile Friendly, DoubleClick Conversion, Google Tag Manager, Facebook Widget, DoubleClick, Facebook Custom Audiences, Linkedin Login,",,"O Grupo Comerc Energia é a mais completa Plataforma de Soluções Renováveis em Energia e Descarbonização do Brasil. Com mais de 20 anos de atuação e um portfólio composto por cerca de 4,1 mil unidades de consumo, a companhia atingiu nos primeiros 9 meses de 2022 faturamento de R$ 3 bilhões. Atualmente, a estrutura do Grupo Comerc é ancorada em quatro verticais de negócios, com soluções que tornam factível o caminho para a descarbonização. São oferecidos serviços de geração renovável centralizada, geração distribuída, comercialização de energia, eficiência energética, medição setorizada e gestão de consumidores no mercado livre. Juntas, essas soluções conduzem a uma jornada de descarbonização."
Assesso,"Management, Pro Services","Cloud Data Services, Data Storage, Database, Information Technology","Barueri, Sao Paulo, Brazil",Brazil,"Assesso is a data management company that provides digital transformation, data warehouse, protection, and database marketing solutions.",1/1/1981,year,,51 to 100,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software",Private,,,,,,,,,,,,,,,,,,,,,"836,923","814,541",,,Latin America,$10M to $50M,Active,assesso.com.br,,facebook.com/assessotecnologia,linkedin.com/company/assesso/,imprensa@assesso.com.br,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Assesso,Information Technology & Services,assesso.com.br,linkedin.com/company/assesso,facebook.com/assessotecnologia,,307 Calçada das Margaridas,Barueri,São Paulo,Brazil,06453-038,"307 Calçada das Margaridas, Barueri, São Paulo, Brazil, 06453-038","data quality, data governance, master data management",551141935548,,"Disqus, Mobile Friendly, Ubuntu, Nginx, Google Tag Manager, Google Font API, WordPress.org",,A Assesso é uma empresa de tecnologia com mais de 40 anos de atuação no mercado brasileiro.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inicialmente operou como desenvolvedora de sistemas sob medida, tendo se especializado em projetos com grande volume de dados e necessidade de grande performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A partir de 1985, por meio de profunda parceria com a Editora Abril, passou a operar na gestão de cadastros e nos processos de qualidade da informação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Em 1999, lançou no mercado seu software de Qualidade de Dados – o DataCare – hoje líder neste mercado, que está instalado e operando em mais de 100 grandes empresas brasileiras e multinacionais dos mais variados setores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A partir de 2002, criou metodologia própria, após a certificação obtida pelo seu Presidente Flávio de Almeida Pires nas técnicas do TDQM – Total Data Quality Management, ministrado pelo MIT – Massachusetts Institute of Technology, instituição com a qual mantém até hoje forte relacionamento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atualmente, a Assesso é referência no mercado brasileiro de Qualidade e Governança de Dados, aí incluídas as áreas de Big Data e MDM – Master Data Management, tendo evoluído à frente do mercado com a moderna visão da informação como um valioso ativo das empresas, merecendo estrutura especializada para a sua contínua evolução e qualidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nossa Missão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prover soluções eficientes e inovadoras para a gestão e a qualidade da informação, permitindo sua utilização como diferencial estratégico e competitivo, de modo a agregar valor aos negócios dos nossos clientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
